name,category,price,rating,rating_count,total_sold,brand,url
Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,In-Ear Headphones,119,4.0,877 Ratings,4.8K sold,No Brand,https://www.daraz.com.bd/products/vivo-in-year-yearphone-is-the-best-sound-quality-white-with-free-one-emphasizing-value-i215349589.html
Akg_Super Bass Earphone With Pouch Box Samsung Headphone - Headphone - Ear Phone,In-Ear Headphones,185,4.6,161 Ratings,1.1K sold,No Brand,https://www.daraz.com.bd/products/akg_super-samsung-i324358387.html
UIISII C100 In-ear Wired Heavy Bass Earphones with MIC - Ear Phone - Headphone - Headphone - Headphone - Ear Phone - Earphone - Headphone,In-Ear Headphones,225,4.7,313 Ratings,1.3K sold,No Brand,https://www.daraz.com.bd/products/uiisii-c100-in-ear-wired-heavy-bass-earphones-with-mic-ear-phone-headphone-headphone-headphone-ear-phone-earphone-headphone-i140492300.html
Baseus Wired Earphone H17 3.5mm In-ear with Microphone for Samsung Galaxy Xiaomi Huawei 3.5mm Ports Devices HiFi Sport Headphone,In-Ear Headphones,590,4.4,11 Ratings,85 sold,No Brand,https://www.daraz.com.bd/products/samsung-galaxy-xiaomi-huawei-35mm-baseus-h17-35mm-hifi-i321044233.html
Cute Cartoon Rabbit Wired Earphone With Microphone For Girls - Headphone - Headphone,In-Ear Headphones,400,4.2,619 Ratings,3.3K sold,No Brand,https://www.daraz.com.bd/products/cute-cartoon-rabbit-wired-earphone-with-microphone-for-girls-headphone-headphone-i259844933.html
TRN MT1 HiFi 1DD Dynamic In-ear Earphone Drive HiFi Bass Metal Monitor Running Sport Earphone - Headphone,In-Ear Headphones,670,4.3,75 Ratings,366 sold,TRN,https://www.daraz.com.bd/products/trn-mt1-hifi-1dd-dynamic-in-ear-earphone-drive-hifi-bass-metal-monitor-running-sport-earphone-headphone-i195257506.html
QKZ DM7 Zinc Alloy In Ear HiFi Earphone Stereo Bass Headset,In-Ear Headphones,290,3.7,9 Ratings,40 sold,No Brand,https://www.daraz.com.bd/products/qkz-dm7-hifi-i335825197.html
Wireless Bluetooth Headset Single Ear Earplugs Ultra Long Battery Life Business Earphones Mobile Phone Headphones Earbuds Mono,In-Ear Headphones,272,0,15 Ratings,416 sold,No Brand,https://www.daraz.com.bd/products/-i404735956.html
Qkz Dm7 Zinc Alloy In Ear Hifi Wired Earphone Stereo Bass - Black,In-Ear Headphones,379,4.6,14 Ratings,103 sold,No Brand,https://www.daraz.com.bd/products/qkz-dm7-hifi-i344836318.html
Wire Control Headset For Smartphone 3.5Mm In-Ear Wired Microphone Volume Control Headset Earphone - Headphone,In-Ear Headphones,99,4.1,104 Ratings,1.2K sold,No Brand,https://www.daraz.com.bd/products/wire-control-headset-for-smartphone-35mm-in-ear-wired-microphone-volume-control-headset-earphone-headphone-i252410573.html
UiiSii C100 In Ear Wired Earphones,In-Ear Headphones,230,4.2,83 Ratings,419 sold,UiiSii,https://www.daraz.com.bd/products/uiisii-c100-in-ear-wired-earphones-i174068065.html
Xiaomi Mi in-Ear Headphones Basic (Black),In-Ear Headphones,499,4.5,2312 Ratings,10.8K sold,Motion View,https://www.daraz.com.bd/products/xiaomi-mi-in-ear-headphones-basic-black-i275435.html
OnePlus Type-C Bullets Earphones,In-Ear Headphones,1420,3.9,14 Ratings,108 sold,OnePlus,https://www.daraz.com.bd/products/oneplus-type-c-bullets-earphones-i192185594.html
Uiisii Hm12 Half In-Ear Headset Metal Bass Music Earphone Wired Headphones With Mic And Pouch Bag - Headphone - Headphone - Ear Phone - Earphone - Headphone,In-Ear Headphones,357,4.4,288 Ratings,1.4K sold,No Brand,https://www.daraz.com.bd/products/uiisii-hm12-half-in-ear-headset-metal-bass-music-earphone-wired-headphones-with-mic-and-pouch-bag-headphone-headphone-ear-phone-earphone-headphone-i123448712.html
Remax Rm-510 High Performance Earphones - Headphone,In-Ear Headphones,260,4.0,539 Ratings,3.0K sold,No Brand,https://www.daraz.com.bd/products/remax-rm-510-high-performance-earphones-headphone-i268435993.html
Geeoo x10 plus earphone Powerfull Sound headphone,In-Ear Headphones,249,4.4,41 Ratings,172 sold,No Brand,https://www.daraz.com.bd/products/geeoo-x10-plus-earphone-powerfull-sound-headphone-i320364625.html
UiiSii CX Type-C In-Ear Dynamic Headset with Microphone For Type-C Earphone Jack Smartphones - Ear Phone - Headphone - Headphone,In-Ear Headphones,369,4.3,5 Ratings,35 sold,No Brand,https://www.daraz.com.bd/products/c-uiisii-cx-c-i323542588.html
G6 G9 G20 Gaming Earphone For Pubg PS4 CSGO Casque Games Headset 7.1 With Mic Volume Control PC Gamer Earphones,In-Ear Headphones,550,4.3,69 Ratings,489 sold,No Brand,https://www.daraz.com.bd/products/pubg-ps4-csgo-g6-g9-g20-71-i239532922.html
VMEX LF-05 Headphone Heavy Bass 3.5Mm Port 1.2M Wired Earphone,In-Ear Headphones,84,4.3,15 Ratings,127 sold,No Brand,https://www.daraz.com.bd/products/vmex-lf-05-headphone-heavy-bass-35mm-port-12m-wired-earphone-i368375571.html
Earphone One_Plus With Mic Deep Bass for all Android Smartphone,In-Ear Headphones,55,3.8,190 Ratings,1.7K sold,No Brand,https://www.daraz.com.bd/products/one_plus-i214568387.html
Vivo In Ear Earphone Good Bass Sound Quality For All Android - White Color - Headphone - Ear Phone - Earphone - Headphone - Headphone,In-Ear Headphones,115,4.1,298 Ratings,1.5K sold,No Brand,https://www.daraz.com.bd/products/vivo-in-ear-earphone-good-bass-sound-quality-for-all-android-white-color-headphone-ear-phone-earphone-headphone-headphone-i213214141.html
Relme Buds Wired Earphones with Mic Buds Wired Earphones with Mic-Mobile stane free,In-Ear Headphones,53,4.0,185 Ratings,1.9K sold,No Brand,https://www.daraz.com.bd/products/-i181078562.html
Baseus Encok C17 Type-C In-Ear Earphone - Headphone,In-Ear Headphones,650,4.3,80 Ratings,469 sold,No Brand,https://www.daraz.com.bd/products/baseus-encok-c17-type-c-in-ear-earphone-headphone-i220280186.html
TRN MT1 Pro HIFI In Ear Earphone DJ Monitor Earphones Earbud Dynamic Sport Noise Cancelling IEM Headset TRN X7TA1ST1 For KZ Fiio,In-Ear Headphones,1040,4.4,102 Ratings,502 sold,TRN,https://www.daraz.com.bd/products/trn-mt1-pro-hifi-in-ear-earphone-dj-monitor-earphones-earbud-dynamic-sport-noise-cancelling-iem-headset-trn-x7ta1st1-for-kz-fiio-i234781405.html
REMAX RM 510 Wired Earphone Red - Headphone - Headphone,In-Ear Headphones,190,4.1,66 Ratings,348 sold,No Brand,https://www.daraz.com.bd/products/remax-rm-510-wired-earphone-red-headphone-headphone-i116758701.html
UIISII C100 In-ear Wired Earphones with MIC- Pink,In-Ear Headphones,199,4.4,16 Ratings,101 sold,TRN,https://www.daraz.com.bd/products/uiisii-c100-in-ear-wired-earphones-with-mic-pink-i324149952.html
Relme Buds Wired Earphones with Mic Buds Wired Earphones Fell Real Bass with Mic Free 01 Pic,In-Ear Headphones,105,4.1,255 Ratings,2.6K sold,No Brand,https://www.daraz.com.bd/products/relme-buds-wired-earphones-with-mic-buds-wired-earphones-fell-real-bass-with-mic-free-01-pic-i260345597.html
GEEOO X10 Plus Earphone With Ultra Bass And Stereo Sound,In-Ear Headphones,199,4.6,21 Ratings,150 sold,No Brand,https://www.daraz.com.bd/products/geeoo-x10-plus-i319654826.html
RIVO EP 103 Earphone Deep Bass Eparphone Gaming Earphone [4 Months Warranty],In-Ear Headphones,379,4.5,180 Ratings,794 sold,No Brand,https://www.daraz.com.bd/products/rivo-ep-103-i323964638.html
"Type C Earphone & Mic for Galaxy Note 10, Note 10+, Galaxy S10, S9 Plus, S10E S22 ultra note 22 ultra",In-Ear Headphones,490,4.5,54 Ratings,248 sold,No Brand,https://www.daraz.com.bd/products/usb-type-c-earphone-mic-for-galaxy-note-10-note-10-galaxy-pluse-headphone-headphone-ear-phone-i272595043.html
Akg_Super Bass Earphone With Pouch Samsung Headphone - Headphone,In-Ear Headphones,109,4.3,303 Ratings,1.8K sold,No Brand,https://www.daraz.com.bd/products/akg_super-bass-earphone-with-pouch-samsung-headphone-headphone-i169712017.html
Buds Wired Earphones With Mic Buds Wired Earphones With Mic - Headphone,In-Ear Headphones,55,3.8,288 Ratings,2.5K sold,No Brand,https://www.daraz.com.bd/products/buds-wired-earphones-with-mic-buds-wired-earphones-with-mic-headphone-i221761464.html
KZ EDX Pro Dynamic HiFi Earphone Mic Sports In-Ear Earbud,In-Ear Headphones,855,4.5,222 Ratings,961 sold,No Brand,https://www.daraz.com.bd/products/kz-edx-pro-dynamic-hifi-earphone-mic-sports-in-ear-earbud-i199561776.html
"QKZ DM 9 Zinc Alloy Hifi Earphones Gaming High Stereo Bus Sound In Ear Earphones,magnetic earphones(Original)",In-Ear Headphones,280,3.3,3 Ratings,32 sold,No Brand,https://www.daraz.com.bd/products/qkz-dm-9-hifi-i391441484.html
