name,category,price,rating,rating_count,total_sold,url
OnePlus Nord N30 SE 5G (4+128) Smartphone,Smart Phones,"৳ 15,750",4.6,135 Ratings,1.5K sold,https://www.daraz.com.bd/products/oneplus-nord-n30-se-5g-4128-smartphone-i367013885.html
Smile Q9 Super (RAM-4GB/ROM-64GB)3900mAH Mobile Phone,Smart Phones,"৳ 5,199",3.6,128 Ratings,1.3K sold,https://www.daraz.com.bd/products/smile-q9-ram-4gbrom-64gb3900mah-i315852883.html
Imam i8 Glory (RAM-3GB/ROM-32GB)3100mAH Mobile Phone,Smart Phones,"৳ 3,699",3.3,83 Ratings,1.0K sold,https://www.daraz.com.bd/products/imam-i8-ram-3gbrom-32gb3100mah-i316669343.html
OPPO A58 (6/128GB),Smart Phones,"৳ 18,990",4.6,7 Ratings,24 sold,https://www.daraz.com.bd/products/oppo-a58-6128gb-i324200653.html
"Samsung A54 5G 8GB Ram and 128GB, 256GB Ram Smartphone",Smart Phones,"৳ 39,990",5.0,3 Ratings,12 sold,https://www.daraz.com.bd/products/samsung-a54-5g-8gb-ram-and-128gb-256gb-ram-smartphone-i312417236.html
iphone 15 Pro Max 256GB (HK) Smartphone,Smart Phones,"৳ 182,990",5.0,2 Ratings,12 sold,https://www.daraz.com.bd/products/iphone-15-pro-max-256gb-hk-smartphone-i324454534.html
Walton Orbit Y70(6GB/64GB) - Official,Smart Phones,"৳ 9,629",0,0 Ratings,33 sold,https://www.daraz.com.bd/products/waltonorbit-y706gb64gb-official-i338426193.html
Walton Orbit Y20 (2GB/32GB) official variant,Smart Phones,"৳ 8,029",0,0 Ratings,23 sold,https://www.daraz.com.bd/products/y202gb32gb-i324573608.html
Samsung Galaxy F23 5G (6+128),Smart Phones,"৳ 21,999",5.0,2 Ratings,6 sold,https://www.daraz.com.bd/products/samsung-galaxy-f23-5g-6-128-i387183092.html
Samsung Galaxy A05 (4/64),Smart Phones,"৳ 14,233",1.0,1 Ratings,18 sold,https://www.daraz.com.bd/products/samsung-galaxy-a05-464-i336054479.html
Xiaomi Redmi Note 13 (8GB/256GB),Smart Phones,"৳ 21,999",5.0,1 Ratings,6 sold,https://www.daraz.com.bd/products/xiaomi-redmi-note-13-8gb256gb-i349053022.html
Realme C65 (8GB/128GB),Smart Phones,"৳ 19,999",4.5,2 Ratings,6 sold,https://www.daraz.com.bd/products/realme-c65-8gb128gb-i369239228.html
TECNO Spark 20 Pro+ 8GB Ram and 256GB Rom (Official),Smart Phones,"৳ 26,199",5.0,1 Ratings,6 sold,https://www.daraz.com.bd/products/tecno-spark-20-pro-8gb-ram-256gb-rom-i346418518.html
Oppo A17k (3/64GB) Smartphone - Official,Smart Phones,"৳ 11,990",5.0,15 Ratings,165 sold,https://www.daraz.com.bd/products/oppo-a17k-364gb-smartphone-official-i286783390.html
